Value Date,Position Account ID,Client ID,UTI,Currency,Effective Date,Maturity Date,Cleared Date,Trade type,NPV,Previous NPV,Variation,PAI,Firm ID,Source,LEG1_TYPE,LEG1_CCY,LEG1_PAY_FREQ,LEG1_PAY_ADJ_BUS_DAY_CONV,LEG1_PAY_ADJ_CAL,LEG1_DAYCOUNT,LEG1_INDEX,LEG1_INDEX_TENOR,LEG1_RESET_FREQ,LEG1_START_DATE,LEG1_MAT_DATE,LEG1_NOTIONAL,LEG1_FIXED_RATE,LEG2_TYPE,LEG2_CCY,LEG2_PAY_FREQ,LEG2_PAY_ADJ_BUS_DAY_CONV,LEG2_PAY_ADJ_CAL,LEG2_DAYCOUNT,LEG2_INDEX,LEG2_INDEX_TENOR,LEG2_RESET_FREQ,LEG2_START_DATE,LEG2_MAT_DATE,LEG2_NOTIONAL,LEG2_FIXED_RATE,LEG1_DIRECTION,LEG2_DIRECTION,Clearing House,Jurisdiction,FCM ID,FCM Name,Portfolio ID,NPVadj,pNPVadj,Notionaladj,IM
2013/12/23,ACUOSG8745,720400TGFLH2QZV80T,455123,AUD,2011/12/05,2018/12/05,2013/11/27,CLEARED,"-631,053.94","-621,377.18","-9,676.76",42.56,999,CME,FIXED,AUD,6M,ModifiedFollowing,AUSY,Act/365F,,,,2011/12/05,2018/12/05,10000000,1.25,FLOAT,AUD,6M,ModifiedFollowing,AUSY,Act/365F,AUD-BBR-BBSW,6M,6M,2011/12/05,2018/12/05,10000000,,R,P,LCH Clearnet Ltd,EU,549300MHCFARP0SMZV21,Goldman Sachs & Co.,p31,"-631053,94","-621377,18",10000000,400000
2013/12/23,ACUOSG3126,104399UHGKI1RAW91U,455124,AUD,2012/12/04,2022/12/04,2013/11/27,CLEARED,"2,537.73","2,569.22",-31.49,-0.18,999,CME,FLOAT,AUD,6M,ModifiedFollowing,AUSY,Act/365F,AUD-BBR-BBSW,6M,3M,2012/12/04,2022/12/04,1000000,,FLOAT,AUD,3M,ModifiedFollowing,AUSY,Act/365F,AUD-BBR-BBSW,3M,3M,2012/12/04,2022/12/04,1000000,,R,P,LCH Clearnet Ltd,EU,549300MHCFARP0SMZV21,Goldman Sachs & Co.,p32,"2537,73","2569,22",1000000,40000
2013/12/23,ACUOSG9071,928581SHELI3PYW91M,455125,EUR,2011/12/05,2036/12/05,2013/11/27,CLEARED,"13,376.00","13,362.90",13.1,-0.06,999,CME,FLOAT,EUR,6M,ModifiedFollowing,EUTA,Act/360,EUR-EURIBOR-Reuters,6M,6M,2011/12/05,2036/12/05,1000000,,FLOAT,EUR,3M,ModifiedFollowing,EUTA,Act/360,EUR-EURIBOR-Reuters,3M,3M,2011/12/05,2036/12/05,1000000,,R,P,LCH Clearnet Ltd,EU,549300MHCFARP0SMZV21,Goldman Sachs & Co.,p33,13376,"13362,9",1000000,40000
2013/12/23,ACUOUS3014,720400TGFLH2QZV80T,455126,EUR,2011/12/05,2036/12/05,2013/11/27,CLEARED,"-13,376.00","-13,362.90",-13.1,0.06,999,CME,FLOAT,EUR,6M,ModifiedFollowing,EUTA,Act/360,EUR-EURIBOR-Reuters,1M,6M,2011/12/05,2036/12/05,1000000,,FLOAT,EUR,3M,ModifiedFollowing,EUTA,Act/360,EUR-EURIBOR-Reuters,3M,3M,2011/12/05,2036/12/05,1000000,,P,R,LCH Clearnet Ltd,EU,549300MHCFARP0SMZV21,Goldman Sachs & Co.,p31,-13376,"-13362,9",1000000,40000
2013/12/23,ACUOUS6924,104399UHGKI1RAW91U,455127,GBP,2013/11/27,2053/11/27,2013/11/27,CLEARED,"20,859.90","20,885.06",-25.16,-0.24,999,CME,FLOAT,GBP,6M,ModifiedFollowing,GBLO,Act/365F,GBP-LIBOR-BBA,3M,1M,2013/11/27,2053/11/27,1000000,,FLOAT,GBP,3M,ModifiedFollowing,GBLO,Act/365F,GBP-LIBOR-BBA,3M,3M,2013/11/27,2053/11/27,1000000,,R,P,CME Group,US,5493005EUM6Q06DFP787,J.P. Morgan Securities LLC,p34,"20859,9","20885,06",1000000,40000
2013/12/23,ACUOUK2046,928581SHELI3PYW91M,455128,GBP,2013/11/27,2053/11/27,2013/11/27,CLEARED,"-20,859.90","-20,885.06",25.16,0.24,999,CME,FLOAT,GBP,6M,ModifiedFollowing,GBLO,Act/365F,GBP-LIBOR-BBA,6M,3M,2013/11/27,2053/11/27,1000000,,FLOAT,GBP,3M,ModifiedFollowing,GBLO,Act/365F,GBP-LIBOR-BBA,3M,3M,2013/11/27,2053/11/27,1000000,,P,R,LCH Clearnet Ltd,EU,549300MHCFARP0SMZV21,Goldman Sachs & Co.,p33,"-20859,9","-20885,06",1000000,40000
2013/12/23,ACUOSG8745,720400TGFLH2QZV80T,455129,GBP,2013/12/03,2017/12/03,2013/12/03,CLEARED,"-16,329.90","-16,260.54",-69.36,0.19,999,CME,FLOAT,GBP,6M,ModifiedFollowing,GBLO,Act/365F,GBP-LIBOR-BBA,1M,6M,2013/12/03,2017/12/03,10000000,,FLOAT,GBP,3M,ModifiedFollowing,GBLO,Act/365F,GBP-LIBOR-BBA,3M,3M,2013/12/03,2017/12/03,10000000,,P,R,LCH Clearnet Ltd,EU,549300MHCFARP0SMZV21,Goldman Sachs & Co.,p31,"-16329,9","-16260,54",10000000,400000
2013/12/20,ACUOSG3126,104399UHGKI1RAW91U,455130,JPY,2012/12/05,2022/12/05,2013/11/27,CLEARED,"-7,668","-7,962",294,,999,CME,FLOAT,JPY,6M,ModifiedFollowing,JPTO,Act/360,JPY-LIBOR-BBA,6M,6M,2012/12/05,2022/12/05,1000000,,FLOAT,JPY,3M,ModifiedFollowing,JPTO,Act/360,JPY-LIBOR-BBA,3M,3M,2012/12/05,2022/12/05,1000000,,P,R,Japan Securities Clearing Corporation,JP,549300N4RSG8JZ4YYQ13,"Morgan Stanley MUFG Securities Co., Ltd.",p35,-7668,-7962,1000000,40000
2013/12/20,ACUOSG9071,928581SHELI3PYW91M,455131,JPY,2012/12/05,2022/12/05,2013/11/27,CLEARED,"7,668","7,962",-294,,999,CME,FLOAT,JPY,6M,ModifiedFollowing,JPTO,Act/360,JPY-LIBOR-BBA,3M,Term,2012/12/05,2022/12/05,1000000,,FLOAT,JPY,3M,ModifiedFollowing,JPTO,Act/360,JPY-LIBOR-BBA,3M,3M,2012/12/05,2022/12/05,1000000,,R,P,Japan Securities Clearing Corporation,JP,549300N4RSG8JZ4YYQ13,"Morgan Stanley MUFG Securities Co., Ltd.",p36,7668,7962,1000000,40000
2013/12/23,ACUOUS3014,720400TGFLH2QZV80T,455132,CAD,2011/12/13,2021/12/13,2013/12/12,CLEARED,"140,125.20","138,840.05","1,285.15",-3.87,999,CME,FIXED,CAD,6M,ModifiedFollowing,CATO,Act/365F,,,,2011/12/13,2021/12/13,3000000,2,FLOAT,CAD,6M,ModifiedFollowing,CATO,Act/365F,CAD-BA-CDOR,3M,3M,2011/12/13,2021/12/13,3000000,,P,R,CME Group,US,5493005EUM6Q06DFP787,J.P. Morgan Securities LLC,p37,"140125,2","138840,05",3000000,120000
